sercfr
Group A
Teams:
Position,Team,Played,Won,Draw,Loss,GF,GA,Points
31,24/06,17:00,Kazan,Poland,Colombia,0,0,false
32,24/06,20:00,Yekaterinburg,Japan,Senegal,0,0,false
47,28/06,16:00,Volgograd,Japan,Poland,0,0,false
48,28/06,16:00,Samara,Senegal,Colombia,0,0,false
Finals:,Round of 16:Gameid,Date,Time,Venue,Home Team,Guest Team,GH,GG,IsPlayed
49,30/06,16:00,Sochi,1A,2B,0,0,false
50,30/06,20:00,Kazan,1C,2D,0,0,false
51,01/07,16:00,Moscow,1B,2A,0,0,false
52,01/07,20:00,Nizhny Novgorod,1D,2C,0,0,false
53,02/07,16:00,Samara,1E,2F,0,0,false
54,02/07,20:00,Rostov-on-Don,1G,2H,0,0,false
55,03/07,16:00,Saint Petersburg,1F,2E,0,0,false
56,03/07,20:00,Moscow,1H,2G,0,0,false
Gameid,Date,Time,Venue,Home Team,Guest Team,GH,GG,IsPlayed
57,06/07,16:00,Nizhny Novgorod,W49,W50,0,0,false
58,06/07,20:00,Kazan,W53,W54,0,0,false
59,07/07,20:00,Sochi,W51,W52,0,0,false
60,07/07,16:00,Samara,W55,W56,0,0,false
Gameid,Date,Time,Venue,Home Team,Guest Team,GH,GG,IsPlayed
61,10/07,20:00,Saint Petersburg,W57,W58,0,0,false
62,11/07,20:00,Moscow,W59,W60,0,0,false
Gameid,Date,Time,Venue,Home Team,Guest Team,GH,GG,IsPlayed
63,14/07,16:00,Saint Petersburg,L61,L62,0,0,false
Gameid,Date,Time,Venue,Home Team,Guest Team,GH,GG,IsPlayed
64,15/07,17:00,Moscow,W61,W62,0,0,false
